country,Biomass_pct,Coal_pct,Cogeneration_pct,Gas_pct,Geothermal_pct,Hydro_pct,Nuclear_pct,Oil_pct,Other_pct,Petcoke_pct,Solar_pct,Storage_pct,Waste_pct,Wave and Tidal_pct,Wind_pct,total_capacity_mw,num_plants,renewable_ratio,fossil_ratio
MNG,0.0,88.93805309734513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.530973451327434,0.0,0.0,0.0,5.530973451327434,904.0,8,0.11061946902654868,0.8893805309734514
MOZ,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2285.0,3,1.0,0.0
MRT,0.0,0.0,0.0,37.998252080404306,0.0,0.0,0.0,42.05266557738344,0.0,0.0,10.449519322111184,0.0,0.0,0.0,9.499563020101077,315.804,7,0.1994908234221226,0.8005091765778775
MUS,10.29548080451323,22.713741156348778,0.0,0.0,0.0,5.194037213336312,0.0,50.4853583807842,0.0,0.0,11.311382445017482,0.0,0.0,0.0,0.0,989.269,23,0.16505419658353795,0.7319909953713298
MWI,2.7092928745597398,0.0,0.0,4.199403955567597,0.0,93.09130316987266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.1,5,0.9309130316987266,0.04199403955567597
MYS,0.04167462536248242,45.16140235114345,0.0,46.293563006824215,0.0,6.907569153831461,0.0,0.6181736095434892,0.0,0.0,0.9776172532949,0.0,0.0,0.0,0.0,28794.5,55,0.07885186407126361,0.9207313896751116
NAM,0.0,23.88059701492537,0.0,0.0,0.0,47.76119402985074,0.0,11.920398009950251,0.0,0.0,16.437810945273633,0.0,0.0,0.0,0.0,502.5,13,0.6419900497512439,0.3580099502487562
NER,0.0,22.488038277511965,0.0,0.0,0.0,0.0,0.0,73.32535885167464,0.0,0.0,4.186602870813397,0.0,0.0,0.0,0.0,167.2,7,0.04186602870813397,0.958133971291866
NGA,0.0,0.0,0.0,69.4888178913738,0.0,30.35143769968051,0.0,0.0,0.0,0.0,0.1597444089456869,0.0,0.0,0.0,0.0,6260.0,13,0.305111821086262,0.694888178913738
NIC,0.0,0.0,0.0,7.528376187167014,18.415566365531618,12.091730368311328,0.0,47.09288858003243,0.0,0.0,1.4593467685892982,0.0,13.412091730368312,0.0,0.0,863.4,16,0.31966643502432246,0.5462126476719944
NLD,0.0,29.51095377166466,0.0,54.7968098747241,0.0,0.0,2.8540005143085465,0.0,0.0,0.0,1.4423000537258241,0.0,0.0,0.0,11.395935785576883,16993.69,71,0.12838235839302709,0.8430776364638877
NOR,0.0,0.0,0.0,4.466836656323923,0.0,93.61924364842862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913919695247458,32551.0,306,0.9553316334367608,0.04466836656323923
NPL,0.0,0.0,0.0,0.0,0.0,94.8975252997704,0.0,0.0,0.0,0.0,5.102474700229611,0.0,0.0,0.0,0.0,587.95,14,1.0,0.0
NZL,0.0,7.491141724910294,0.0,7.596017709059037,9.978200777580511,65.74225977781273,0.0,2.3222539347221907,0.0,0.0,0.0,0.0,0.0,0.0,6.87012607591523,6674.55,43,0.8259058663130847,0.17409413368691523
OMN,0.0,0.0,0.0,81.05410261529246,0.0,0.0,0.0,0.0,0.0,0.0,18.945897384707525,0.0,0.0,0.0,0.0,6010.8,12,0.18945897384707525,0.8105410261529247
PAK,0.0,14.486133768352365,0.0,13.297599627126544,0.0,37.23887205779538,6.837567000699138,22.619436028897695,0.0,0.0,3.161966907480774,0.0,0.0,0.0,2.3584246096481007,21455.0,62,0.4275926357492426,0.504031694243766
PAN,0.0,7.3475385745775155,0.0,9.796718099436687,0.0,65.08082292432034,0.0,16.066617683076164,0.0,0.0,1.7083027185892723,0.0,0.0,0.0,0.0,1633.2000000000003,17,0.6678912564290961,0.3321087435709037
